T1,T2,T3,T4,T5,T6,Species
1,1,0,0,0,0,SWTH
1,0,1,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,0,0,0,0,SWTH
1,1,1,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,1,1,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,1,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,1,0,0,SWTH
1,1,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
1,0,1,1,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,1,SWTH
1,0,0,0,0,0,SWTH
1,0,0,0,0,0,SWTH
